ID;input1;input2;input3;input4;input5;input6;input7;input8;input9;output1;output2
248;-0.812188;1537396;-0.198921;0.984947;-1554112;1171165;0.051712;0.270876;-1883203;21727483;-27157089
249;1246845;-0.826837;-0.629646;-1344022;1415916;-1915454;-1126762;-1459861;0.953451;5508256;-18288238
250;1160891;-1018719;1613298;-0.323586;165662;-134718;-0.563008;-0.619123;0.717436;5656444;-26321361
251;-0.338986;0.457039;1028133;0.710032;-0.001662;0.402573;1889736;101628;-0.664418;1512687;-29811477
252;1622498;-1068246;1002652;-1038624;0.611102;-0.509227;-0.055674;-0.37596;1572903;6309688;-27183603
253;-0.355686;0.141263;-0.106469;0.822564;-0.798284;0.970969;15168;1224508;-0.391685;15401821;-29530884
254;-1318421;0.643231;-0.417732;0.357118;-1531995;1156426;-0.242695;-0.028234;-1390403;22470442;-26805878
255;-0.426312;0.07094;1577559;-0.634844;-0.086424;-0.501158;1921173;0.208576;0.588743;11035681;-30754288
256;0.499052;0.31377;1454999;0.392587;-0.082228;0.788803;1657918;1424347;0.723326;11536817;-30973813
257;-0.696048;0.754662;-0.575521;0.006662;-0.896419;1263278;1114632;1791517;-1716464;17400436;-29008151
258;0.610748;-0.898926;0.77387;-1105956;0.564835;-1179391;0.034351;-0.430378;1395968;4484054;-24826799
259;0.210932;-0.413875;0.769119;0.033145;0.812986;0.013394;-0.21816;0.238189;1040801;8447858;-28703662
260;-0.911097;0.929643;-1828978;0.472307;-1965767;1419787;-0.764243;0.584446;-0.752703;22024534;-27006012
261;-0.808154;192623;-1630461;0.549485;-0.911143;0.408295;-1169577;0.046786;-190204;22992298;-26643868
262;0.817973;-1007058;0.625001;-1268379;1009263;-111486;0.029792;-1037609;1219999;4703826;-24687398
263;0.226926;-0.152125;1328886;-0.539074;0.862305;-0.799828;100441;-0.222533;1583392;6809004;-27189307
264;1199049;-1188237;0.952816;-1212053;1438329;-1036829;-0.930578;-1126679;1353232;4601748;-20066838
265;0.118516;-0.253785;1314375;0.915221;0.104566;-0.048059;1588368;1335622;-0.226558;12122423;-30935138
266;1101561;-0.550507;0.727228;-1282821;1028269;-0.574776;-1461923;-1394656;0.31889;4677241;-24089438
267;0.894824;-0.949754;0.607206;-0.648712;183006;-0.949821;-0.000389;-0.464369;1192935;3960381;-23082126
268;-0.242475;0.665732;0.61037;0.187183;-1128719;1096191;0.908362;1406684;-0.108728;15111977;-29729517
269;1119121;-1272329;1897298;-0.528078;0.136311;-0.244472;1021025;0.299011;-0.230975;6098538;-26821348
270;-1036083;1106139;-0.605962;1117644;-0.950023;1159976;-0.263969;0.691594;-1417793;23250497;-26619013
271;0.801404;0.316364;2209551;-1303791;0.652299;0.001374;0.648508;-0.272688;1145639;1044935;-29725495
272;1221488;0.193501;1282468;0.566335;0.231598;0.637391;-0.586839;-0.080133;1176929;9474886;-29526821
273;0.769256;-108797;0.190156;-1697765;0.795072;-0.239089;-0.572231;-0.661462;1708248;3457182;-25064912
274;0.653004;0.691066;1533058;0.108689;-0.411786;1422586;1655458;0.409467;0.961717;10695201;-3052892
275;0.399311;-1731882;-0.457519;-1609926;0.138673;-1896908;-0.878691;-1672788;0.417583;4794524;-15588501
276;0.614904;0.216296;2316451;0.641194;-0.810012;0.233237;1441023;0.003272;-0.17775;11039647;-30934532
277;0.506775;0.389333;0.552813;0.066668;-0.038875;0.638537;101314;0.020389;0.589982;1091924;-30341356
278;1256619;-0.312233;1007041;-0.710442;0.507633;-0.421363;0.516815;-0.770531;1312495;7885724;-29169612
279;-0.407363;1013998;-0.333981;1142386;-0.96773;1091506;1802341;1323567;0.136036;16383803;-2925839
280;0.929736;-1150335;0.711635;-0.809559;1243347;-1333313;-1189847;-1518943;1233586;4992948;-20377575
281;1801048;-0.848381;0.76576;-0.93082;1195028;-0.38291;0.040039;-0.712749;1686599;4618691;-25734742
282;-1776096;1470097;-2286476;1930463;-0.949;0.281374;-0.42912;-0.125509;-1183737;23802961;-26327599
283;0.486732;-0.436411;0.175941;-1263587;0.961378;-0.394742;0.452238;-1587724;1761647;4043368;-22205003
284;0.968206;-0.905435;0.064957;-1703737;0.919723;-1245329;-0.497859;-1049199;0.560008;5077854;-25198085
285;1284129;-1194852;-0.003661;-0.366174;1140198;-1036647;-0.491609;-1072017;0.608543;4270927;-21998417
286;-1013749;1347259;-0.785148;0.934176;-1025816;-0.050749;0.089273;0.020971;-1248914;24116237;-26181998
287;0.751688;0.261092;170335;-1099552;-0.284664;0.181172;-0.323544;-0.071623;1352899;751141;-28222806
288;1052256;-1034005;0.018875;-0.711374;1229186;-1403847;-0.707999;-1466331;0.821426;4403303;-19988811
289;178795;-0.822568;0.705087;-0.878349;154694;-1300873;-0.765563;-0.727061;0.95398;4493701;-2055639
290;-0.767034;0.515495;-0.447739;1245649;-1374599;120328;0.654318;1289117;-0.658096;17328185;-28859635
291;0.649773;0.00564;0.051195;0.409383;0.574028;-0.600047;-0.034759;-0.459511;1951333;7180139;-30377267
292;-0.188764;0.306542;-0.020912;-0.077742;-1192119;0.788832;1582642;1441158;0.123923;15250864;-29587957
293;1968086;-0.949613;0.962427;-109549;1210208;0.039905;-1415333;-0.968649;1095161;4430371;-25009997
294;-0.820707;1392728;-0.43278;-0.026402;-1522674;0.827455;1048486;1097286;-0.719822;16812173;-29091869
295;1105026;-0.722879;-0.290098;-1274684;1438774;-0.175716;-0.401424;-0.627721;1284239;4781957;-25052713
296;0.377291;-0.078826;-0.127422;1224877;0.401658;0.883215;2275526;0.600146;0.587586;1255424;-30681746
297;0.994269;-0.925106;0.980191;-1380626;0.466313;-0.833853;-0.273658;-0.041887;1327627;433007;-24685315
298;1332156;-0.527342;0.183137;-0.857556;147033;-1355647;-0.134898;-1042812;0.609637;4421095;-20673397
299;0.753341;-1195541;0.188699;-0.839477;0.981597;-0.84119;-0.412639;-0.476797;0.806203;512611;-19545437
300;-1023385;0.335678;-0.215132;0.872825;-0.588532;1022638;1848624;1843801;-1198848;16557855;-29098972
301;0.997269;-109298;0.001084;-0.91086;0.982105;0.038578;-0.192819;-0.589365;1713164;4165011;-23047991
302;0.902919;-0.340566;163563;-1162897;1351539;-0.262204;-1248731;-105226;2060931;4746137;-25131252
303;-0.598585;0.969873;-0.509587;0.851312;-1030892;1099591;2006173;0.660136;-0.17242;15347612;-29601958
304;0.313275;1204721;1052506;-0.218205;-0.337733;0.462178;1338815;1693076;0.904818;9841691;-31987597
305;-0.821477;1601614;-147111;0.81741;-1080734;0.048138;-0.309336;0.12715;-1363006;24293252;-26300695
306;1193755;-0.771312;1960747;-0.833949;1320399;-0.94844;0.188222;-1071517;1427995;5541651;-26295778
307;0.758159;-1427076;-0.371955;-0.670803;0.401137;-1496259;-0.93982;-1497742;0.570646;478909;-15848218
308;0.019824;0.421056;1062593;-0.108026;0.750613;0.292402;1290909;1213106;0.643289;11889672;-30953446
309;1140965;-145379;0.706837;-1389248;0.86854;-1696202;-0.761873;-1935934;-0.117632;446876;-24512686
310;-1695419;1487397;-1649192;1296597;-1089786;0.719084;-0.429852;0.186007;-1720755;2396175;-31152219
311;-1336607;0.593216;-0.847917;0.968393;-1292098;1627241;-0.687233;0.950842;-0.966233;20933323;-27740556
312;-0.348409;1416132;-0.836632;0.638774;-1409642;151589;1201492;1795555;-1013952;17195771;-28997834
313;1548735;-1114353;0.048219;-0.732738;0.556116;-0.809855;-1855102;-1698763;0.450893;4881242;-17703227
314;0.889199;-0.814125;0.506796;-0.686512;0.638877;-0.62418;-0.162725;-0.229789;147193;4969644;-26043311
315;0.312455;-0.850065;0.737388;-0.01442;0.520658;0.327724;1047387;0.094807;0.61436;9160319;-29192296
316;0.903729;-2027374;0.52756;-1305155;0.610241;-1266193;0.089025;-0.680159;0.591557;4445021;-23219269
317;1514393;-0.821744;0.975077;-1201835;1260349;-0.410902;-0.529924;-0.698773;1435376;578161;-26607555
318;-0.939374;0.545122;-0.365934;0.131409;-0.796594;0.880409;1354565;1261789;-0.833847;15333882;-29712991
319;0.574196;-0.09259;0.689113;0.064101;-0.039979;0.330709;1732428;0.382316;0.771249;13315011;-30482326
320;1029008;-1248285;0.306861;-0.82332;0.653406;-142653;-0.918809;-1203806;0.503388;4984366;-16054714
321;-0.747151;0.283282;-0.515267;0.32426;-0.557524;0.920273;1453334;1453136;-0.488223;17651019;-28864026
322;0.743246;0.130487;1317515;-0.621963;1128825;-0.587685;0.976164;-1022175;0.573927;7600998;-27756084
323;-1196904;1736555;-1533634;1323282;-1053992;0.526931;-0.523819;0.147198;-1032355;24168913;-27881401
324;-1065309;1857285;-0.794546;1351392;-1235425;1321794;-0.236684;0.815127;-1493398;23212632;-26768606
325;-1122364;1777717;-0.623185;0.977176;-1109399;112915;0.048654;0.06309;-1902464;21858933;-27114054
326;-148038;0.912077;-0.267053;1061093;-0.947619;13081;0.102673;1827896;-0.815728;18177513;-28305283
327;-0.346535;1760366;-0.386245;1579831;-0.882915;0.270189;-1390918;0.445779;-1803312;24434287;-26294007
328;0.991295;-0.548961;0.113678;-0.659908;0.791254;-1224213;-0.168111;0.050766;1238104;7622843;-2800133
329;1250735;-0.856505;-0.108203;-0.730634;1223532;-0.834599;-0.858313;-1089118;10257;4914957;-19362827
330;1117626;-1041802;0.248976;-100877;1650695;-1558083;-0.794329;-1609369;-0.309415;5276436;-16538916
331;0.035097;1131868;0.005263;0.499709;-1386243;1102482;1117499;1539949;-1656623;17854815;-28675286
332;0.846556;-0.389926;1135589;-0.248604;0.920266;-0.48081;0.439254;-1065978;1241772;6252383;-26817605
333;-0.438842;0.670528;0.466756;0.311868;-0.602861;0.959213;162078;1925459;-1078146;15247285;-29504229
334;0.801588;-1663414;0.103868;-0.864411;0.851626;-0.581157;-0.578297;-0.229639;2009082;4433374;-24668719
335;-0.643203;1445639;-1055835;0.859587;-1198376;0.962064;0.032477;0.43065;-1423479;2268898;-26737281
336;-1037618;1018778;-1312788;0.429003;-1067436;1429263;-0.193158;1161339;-0.775173;18176496;-28552062
337;-0.863197;0.472734;-1873107;0.720615;-1341005;1109578;1063506;100356;-1416842;16563314;-29261008
338;-0.711791;1444157;-164761;0.644574;-0.647341;1302185;0.090713;0.591868;-1426767;21503352;-27963854
339;0.964309;-0.301433;0.904479;-0.518267;0.084027;-0.07991;-0.985894;0.101348;0.391892;6393308;-27517719
340;-169129;132214;-1234106;0.889433;-1309869;1498478;0.127014;1193036;-1491067;19166429;-28197409
341;0.467168;-0.649004;0.430141;-0.797812;1058764;-153192;-0.722444;-1017724;0.902223;4481752;-21500091
342;-0.072082;0.483887;1242926;-0.036339;-0.243282;1363467;1721679;1546826;-0.738328;11880963;-30923125
343;-1081832;1810669;-0.897553;0.837422;-1572535;1062057;-0.413541;0.841002;-0.90399;21999953;-26968247
344;-1213512;0.969219;-1301367;1444119;-1485223;1383889;-0.015821;0.226084;-143929;21231862;-27245361
345;0.084574;-0.567554;2028609;-0.341616;0.438758;0.077346;1650764;0.913783;1291657;10149479;-30072168
346;1438756;-1462444;0.395759;-150533;1910311;-1122248;-0.910952;-1819767;0.130463;4866551;-18256681
347;0.689719;-0.623212;0.78538;-0.836956;0.067925;-0.171412;-1507897;0.455783;1751018;7169367;-27823873
348;-126061;1323232;-0.72218;0.7079;-1485824;1868299;0.117231;0.531594;-1749765;22613362;-2687166
349;1697934;-1424489;0.669046;-0.683522;1253236;-0.513468;-1052146;-0.864757;0.940824;5835121;-19235925
350;1604548;-1115789;0.443375;-0.355941;0.771318;-0.921955;0.487306;-0.640574;1354466;5467219;-26198178
351;-1254734;0.299632;-0.722465;0.617889;-1689381;1866165;-0.457092;0.79635;-0.793765;19485479;-27884296
352;-1014411;1828175;-0.307953;0.68485;-173295;1185889;-0.336032;0.513677;-1058047;22939116;-26589411
353;0.375053;0.260929;1730181;0.309378;0.190048;0.669936;0.521259;-0.543336;1505836;9879381;-29474929
354;0.509578;-0.041119;0.460033;-0.964449;0.728349;-0.388013;0.324322;0.515277;1695224;7527528;-28006523
355;0.900818;-0.854162;0.005546;-100187;0.894245;-0.586165;0.535422;-0.595449;1568202;4008259;-21646435
356;-1832803;1402408;-0.505806;0.908638;-0.993956;1305671;-0.252901;0.293669;-1092062;22860308;-26813309
357;1433505;-0.955972;0.621451;-0.323918;1061948;-0.843044;0.016061;-1735473;0.945685;4760812;-25095105
358;1368561;-1034509;-0.357292;-1560197;1150782;-1618228;-0.876272;-0.804217;0.090705;525307;-16317713
359;0.508709;-0.626867;14034;-0.815496;0.564141;-0.970235;0.449745;-0.659044;1171627;5758938;-26453695
360;-0.707417;0.962453;-0.614189;1156942;-1310265;1740841;-0.13391;0.462138;-0.871935;22117971;-27063079
361;0.131805;0.189916;0.997669;0.056164;-0.261849;0.654991;246881;0.536634;-0.659001;13565711;-30168697
362;1355413;-0.793218;1118163;-0.421704;1043235;-1322714;-0.379329;-0.263957;0.25295;4132008;-24343707
363;-0.879323;1690046;0.019685;0.63972;-1615155;1067208;0.532161;0.607166;-1080154;218461;-27040985
364;-0.5626;0.688518;-0.029653;0.645666;-0.093688;1146878;1530288;1017228;-0.678208;14994392;-29817641
365;1002834;-0.948828;1559469;-0.669693;0.53627;-1119517;-0.137131;-1500262;1900668;431728;-22968031
366;-1383014;1366489;-0.736176;0.598149;-0.985763;111336;-0.540628;0.410938;-172164;22919189;-2686331
367;-1081573;0.578564;0.601431;0.44895;-0.459681;-0.086632;1725562;0.276768;-0.035865;13073794;-3039663
368;0.423963;-0.713687;1919036;-0.699676;0.791105;-0.196524;-0.243488;-0.422814;1348302;6852226;-27445547
369;0.499424;0.512706;2065271;0.483793;-1483709;0.660833;1619234;0.25791;0.655755;1129886;-30947701
370;-0.575856;1302348;-0.92195;1220352;-1499365;0.887704;-0.086188;0.342632;-0.920615;20861391;-27387249
371;2080899;-0.472756;0.706524;-1224709;1521797;-0.975816;-1869573;-0.96825;0.348381;4550755;-18934216
372;-1498043;1571631;-0.11009;-0.077806;-0.978098;1311227;0.01517;0.035392;-0.621295;20581336;-27629251
373;0.625673;-0.668861;0.413584;-0.03154;0.507649;-0.161876;1371684;-0.838411;0.505122;9168603;-2905026
374;0.931307;-1124162;0.901252;-0.88298;1147011;-0.482613;-0.535047;-0.861151;0.833757;577557;-15378069
375;0.829987;-0.265736;0.113623;-0.985658;0.327563;0.083629;0.769137;-0.947558;1582217;716618;-27873358
376;0.629995;-0.447662;0.993849;-1524562;0.068601;-0.356495;0.920852;-0.226262;1759675;73572;-28115958
377;-0.886127;1242345;-0.748041;1170108;-0.850245;1592731;0.0327;0.297788;-2419751;21415445;-27437906
378;-1381085;0.759818;-2000303;0.247032;-1119607;1065089;-0.119697;1888427;-1175019;17745229;-28721282
379;1360566;-0.802224;0.602771;-0.617168;1209178;-0.091498;-0.702138;-0.327296;0.802534;4024271;-23115932
380;0.681753;1057095;1813277;0.061589;0.319991;0.716242;2117293;0.782774;0.7541;10448257;-30300565
381;1406093;-0.262367;1660537;-0.425066;0.574887;-0.115846;0.163413;-0.625313;1744308;605216;-26944985
382;0.139121;-0.405631;149405;-0.911948;0.973272;-0.530241;0.594796;-0.449182;1355513;374247;-27818055
383;0.388203;0.410604;0.744833;-0.080646;0.620318;-0.068636;1194784;0.384069;0.224732;11783851;-30886889
384;-1269874;0.585665;-1626959;0.500118;-1151248;1629589;-0.065854;1683354;-1821169;1872358;-28301207
385;-0.720227;0.25597;-0.379244;1090634;-0.976935;0.931207;0.7017;1601938;-1277212;15724688;-29443873
386;-1277658;1214054;-1378797;1315905;-0.957976;0.525027;0.424898;0.444895;-0.918918;2435056;-26183687
387;-106405;0.864586;-0.962782;0.55365;-0.753935;1047632;0.94608;1983265;-0.563253;17813236;-2883068
388;1340621;-1337325;0.427985;-0.423894;0.490094;-1514593;0.339762;-0.573207;1031944;376857;-24176424
389;1799341;-1002593;0.364543;-0.817302;1333266;-0.903143;0.089549;-0.65283;0.36693;4363678;-21797176
390;-1343777;0.589848;1058683;0.475798;-0.439737;1062595;147726;1578973;0.208168;14772932;-29778916
391;-1184703;1807954;-0.441551;0.940252;-1125787;1001049;-0.478665;0.283448;-1753037;21236066;-2710809
392;0.373655;0.36677;1265847;0.41817;0.601169;0.149619;173579;0.419225;0.315886;11203365;-30959115
393;0.683893;-0.888628;-0.494157;-0.687501;0.214041;-1421766;-0.336258;-1452863;0.183441;4397396;-22146073
394;-201588;1273741;-0.563598;0.670777;-1528795;1056262;-0.481741;0.967776;-1836419;19625978;-28027531
395;1170534;-0.329594;0.198445;-105678;1432193;-1163101;-0.528841;-0.964821;0.927848;458355;-21253119
396;1470573;-1179957;0.845951;-1715103;-0.427787;-1573322;-0.641407;-0.456585;1544468;5034719;-25395049
397;0.11999;-0.78955;1740176;-0.120652;0.476604;-0.450363;-0.215922;0.125237;0.405155;8995049;-28742452
398;113263;-0.686676;-0.25604;-0.923425;1377053;-1419385;-0.087154;-0.23397;0.073336;4254678;-21616022
399;1114737;-1384447;0.042601;-1027143;0.97897;-1185041;-0.747364;-1105787;0.175336;4847601;-16100917
400;-1228313;1402861;-1579282;0.511389;-0.943411;2076671;-0.418304;1445029;-0.931858;19301892;-28177979
401;1145979;-1336493;0.190689;-1134925;0.824665;-1742896;-1317589;-1037207;0.338518;524527;-17468826
402;-0.135719;0.591036;0.763094;1092968;0.323255;0.244159;1597344;0.816582;0.272773;11409426;-30948633
403;-1011324;1418107;-0.149894;0.447377;-0.933118;0.967021;-0.283756;1035342;-1767374;2070337;-28052685
404;1603701;-0.802936;-0.006905;-1235274;1404214;-1699428;-0.697808;-1346253;0.651461;3714012;-22426609
405;1353306;-0.492168;0.179059;-0.237682;1385346;-0.561586;-1747011;-1349698;1177177;4601984;-24317807
406;0.387662;-1098345;176812;-0.427748;0.621283;-0.139676;1639769;-0.367552;1107298;8970282;-29561779
407;0.653148;0.279858;1566949;0.372015;-0.253255;-0.103002;1921879;1059051;-0.031784;11372849;-30953527
408;0.076766;0.42616;1213571;0.220851;0.409194;0.355468;1196737;0.288347;0.277949;1053788;-30378754
409;0.485661;-0.593333;1258301;0.432573;-0.20384;1029272;1906423;0.40852;1197673;9661782;-29804276
410;150769;-0.834688;-1219055;-1047064;0.57785;-0.894416;-0.024426;-0.681177;-0.061521;4452991;-22862921
411;0.588174;-138235;0.851255;-1418442;1066586;-1317933;-0.423546;-0.580781;0.51945;448663;-20378108
412;0.937787;-0.692287;1505858;-0.606111;1683334;-0.641498;0.789088;-0.504899;1697908;5396561;-26040934
413;-0.618374;0.985787;-0.00037;0.940296;-0.997714;1442071;1184783;1217028;-0.651346;17626792;-30305017
414;0.883095;-1175774;-0.397503;-0.556826;0.743648;-0.315825;-0.358383;-1235991;-0.19733;4615785;-19140445
415;1492073;-1699565;-0.178458;-0.646137;1069896;-1066212;-1226199;-0.972905;0.98397;3797049;-21892096
416;-0.606555;1348812;-0.586591;0.148946;-0.447173;1528675;0.60924;0.744035;-0.915481;17751394;-28697477
417;0.008597;-0.173062;145207;-0.700319;-0.262292;0.501674;157055;1344245;-0.984585;11613042;-30921062
418;0.549158;-1610273;-0.088607;-0.54805;1077291;-1144184;-1399141;-1039077;0.20778;5187511;-1882099
419;-0.767938;144471;-1406095;1219396;-0.933214;0.576209;-0.398087;0.411203;-1518007;22886575;-26718192
420;-0.684576;0.480519;0.460862;0.866938;-0.473698;0.79307;1919437;1094179;0.10407;1356101;-30271593
421;0.972791;-119576;-0.896706;-1389588;0.607053;-1374411;-0.763487;-1751533;0.658043;4398787;-21240656
422;-1728295;1602836;-0.283297;1559235;-1028441;0.915319;0.142952;0.539159;-2168032;2317913;-26471705
423;1624677;-1562245;0.691794;-0.372164;0.758326;-0.299482;0.017572;-0.571925;0.435865;4394317;-22358095
424;1822054;-1003038;0.435742;-1016988;1193451;-1491013;-1149876;-1295368;0.700242;3426503;-21571137
425;-1429892;0.648342;-1307408;0.941661;-0.90845;1910702;-0.016687;126451;-1910612;20554946;-27569808
426;-0.650144;-0.978409;1740509;-0.385486;0.49956;-0.207106;1036601;-0.421154;0.143626;9070777;-28903544
427;1256824;-0.809158;0.332949;-0.029244;0.298561;-0.461723;0.221027;-0.890808;1359211;5537803;-26767713
428;1638125;-0.499547;-0.307415;-0.84205;1500492;-1734551;-0.915515;-1748261;1145879;4056066;-20767087
429;-0.317236;-0.633905;0.202002;-0.283363;0.127594;0.279839;199197;0.2467;0.597194;11749147;-30755119
430;-0.041901;0.051686;0.553704;0.397157;0.086687;0.886648;1626821;-0.214079;-1081463;12941359;-30530289
431;1457086;-0.632326;1520934;-1014914;185104;-1012582;0.3029;-0.741499;1426452;3377158;-26581195
432;0.593613;-0.059656;1897502;1012461;0.113425;0.398324;0.765166;0.206489;1074339;9910155;-29784611
433;0.382235;-0.971919;1787969;-0.664113;1175858;-0.424391;0.367242;-0.78307;1977053;7129155;-27356589
434;0.007261;-1283115;0.573248;-0.639291;0.863289;-106626;-0.476757;-0.92529;0.487192;5092933;-19132961
435;1516149;-0.79063;0.296931;-1142313;1091233;-0.95317;-2472657;-1151803;0.267192;5261829;-17655899
436;0.649562;-1396634;0.368407;-0.672661;0.908219;-0.787285;-0.753423;-117103;0.091552;4410951;-20142693
437;-1583566;1081234;-1208834;1323575;-1378182;134697;-0.773323;1212666;-0.914041;22483969;-26912443
438;-0.104395;0.646834;0.331614;0.619199;-1052988;0.250921;1541469;1398414;-0.703919;14081231;-30358477
439;-0.332273;-0.070868;1876591;0.460553;0.406779;0.662686;1411534;1248581;-1261564;11280835;-30928129
440;-1115371;0.946181;-0.798388;130919;-1236636;14743;0.248591;1832122;-1347797;17777722;-28761272
441;-0.831464;210995;-0.49151;1562711;-1303569;0.646734;-1254898;0.339738;-1008765;22883461;-26630391
442;-0.573856;-0.126919;0.871148;0.332638;-1153192;1241808;1916423;1565179;0.102533;14948548;-29682851
443;0.40924;0.03549;0.747429;-0.121266;0.000274;0.612455;1919336;0.213485;-0.098777;1120094;-30892652
444;0.55129;-0.81701;0.962265;-0.728076;1129019;-1002785;-0.399458;-0.145623;1305075;3831561;-22987817
445;-1131438;1086836;-0.484569;0.380155;-1361715;1953785;-0.074171;0.909137;-1093892;20533441;-27826502
446;1208552;-0.642201;1546228;-0.836191;1315334;-1173331;0.091624;-0.220765;1342531;7748718;-27946625
447;0.214919;-0.001889;1243537;0.142736;-0.066355;-0.002336;0.736881;0.159795;1315585;9980687;-29817162
448;-0.428918;0.445083;0.897792;0.5601;-0.291323;0.47652;2180483;0.496278;0.995229;12514899;-30572259
449;-0.101347;1085519;1101283;0.860848;0.132877;0.967383;2014361;0.282473;0.353516;12961647;-31106526
450;-1105385;0.767263;0.038842;-0.084543;-1424592;0.989322;1930481;1075997;-0.207655;14032216;-30029783
451;0.462678;-0.850894;0.845873;-0.657565;0.131212;0.390412;1050047;0.33349;1892536;7657051;-28058283
452;-0.591002;1411263;-0.87733;1067839;-1467029;1193894;-0.297098;0.89591;-1245578;20664047;-27521053
453;-0.686363;0.160133;-0.068741;0.503574;-0.475633;1772198;133128;1468083;-0.603279;15659431;-29351789
454;0.885484;-1261358;0.295774;-0.75127;1198549;-1223168;-1050892;-150771;0.320675;4262576;-18653401
455;147409;-0.217922;1425341;-0.794541;1055301;-0.840388;-0.955076;-0.277919;0.655087;5216744;-25629128
456;0.95108;-0.587789;1217732;-0.275259;1512699;-0.841077;-0.334123;-0.279266;1850892;4834147;-25903728
457;-1415803;142593;-0.628794;0.143312;-1464226;1453361;-0.590898;1710987;-1367127;18878243;-28250852
458;-1249167;0.841805;-0.789461;0.852689;-0.788401;1432702;-0.001772;0.215132;-0.837981;20737321;-27408759
459;1521737;-1567199;0.300681;-1300887;1324784;-0.809849;-1069267;-1152383;-0.051208;5044451;-16171014
460;1157805;-0.532226;-0.261545;-1038633;0.938209;-0.404351;-0.721045;-1313839;0.583683;4577313;-19553498
461;-1241867;131545;-0.110404;0.494779;-1611092;1273916;-0.341093;1099234;-1450915;21026171;-28455789
462;-0.945217;0.655106;0.560851;0.882149;-0.817337;1282987;1253591;1907091;-0.270159;17404932;-28899376
463;0.045489;0.049792;1971868;0.712057;-0.072846;0.199735;191408;0.515911;0.137742;11229507;-30945534
464;0.869506;-0.903748;0.75534;-0.336719;0.409276;-1299834;0.105675;-1506594;0.936381;5318405;-25944119
465;1248732;-1482555;-115341;-1236962;0.902434;-1248711;-0.631606;-1044543;0.977536;4993468;-15632826
466;0.62475;-0.219667;2286627;-0.784348;0.425387;-0.408304;139313;-0.027754;0.731976;9768276;-29391799
467;1145973;-0.921712;-0.506893;-1243113;0.466687;-1663119;-0.89246;-1236755;0.468983;461784;-16957904
468;-1140907;1868718;-0.676586;1000285;-1522394;0.953039;0.379009;0.43796;-1287035;22555223;-26974687
469;1306594;-0.849394;0.812706;-0.287933;1607956;-1141345;0.34641;0.197941;0.277645;4494135;-24827483
470;-0.343336;0.373996;0.80908;0.308764;-0.725123;0.001655;189838;0.867116;-0.240327;14575161;-29835839
471;0.058741;0.361196;0.966783;0.67719;-0.663118;0.847335;1764777;0.59134;-0.434844;12196664;-30866843
472;0.64931;0.235322;1814936;-0.901749;-0.02769;-0.129164;-0.427033;0.578287;1494109;7776579;-28155092
473;-1449558;0.363644;-0.571794;0.618104;-1095689;1829828;-0.134146;1364037;-1279332;20149986;-27761836
474;0.958544;-1073257;1518201;-0.766473;1289058;-0.605261;0.183907;-0.423408;0.925778;7215879;-27928356
475;134737;-1203193;0.862599;-1106147;0.905137;-0.694161;-0.099812;-1472632;1752283;2204814;-24954987
476;-1976575;1218589;-0.620229;0.417115;-0.520304;1443024;0.863416;1030384;-0.906078;1590559;-29404536
477;1244159;-0.802572;-0.054502;-1329047;0.322667;-1102121;-1021074;-1786927;0.535705;5283835;-15608548
478;-1783756;0.17706;-1450872;-0.296271;-0.724275;1007455;1398873;1712394;-1156988;16694775;-30262945
479;-1695639;1361837;-0.454392;0.22944;-1216381;1726624;-0.85953;0.451389;-0.760194;19232115;-28184879
480;1754737;-0.134808;1773569;-1232333;1406163;-0.825843;0.088615;-0.860469;1717503;3395654;-28732651
481;101836;-0.436681;1053616;-0.838663;1345848;-0.719628;-0.163017;-1118726;0.952038;4379399;-23592304
482;0.545628;-0.300298;1992278;-0.178641;0.374051;-0.804722;-0.300116;0.667283;0.632098;8941374;-28797703
483;1198152;-0.97089;0.66988;-0.460766;1410048;-0.798594;-0.973873;-1035618;0.870892;3816738;-21623188
484;-1243869;1693315;-0.228709;0.531228;-1068861;1369887;0.071275;0.643675;-2068661;21658189;-28071392
485;-1138297;0.780907;-0.685647;1168627;-1658661;1248613;-0.359026;189176;-0.92872;1832636;-28444812
486;1555498;-0.485942;-0.013744;-0.906367;0.684181;-0.5913;0.102031;-0.334088;1563047;4041363;-2191269
487;-1398299;0.720415;-0.557755;106531;-1236867;0.983615;0.240951;1096922;-1098938;17891088;-28622679
488;0.647629;-0.06959;219607;-0.271855;0.486186;0.477613;1524256;-1284168;1039212;9635951;-29525965
489;-0.848437;0.571143;-0.362426;0.916733;-0.930547;1230403;0.543301;1545286;-1193107;177791;-29575271
490;-1631329;1205074;-0.281918;0.523843;-1241;1636803;0.180259;0.024021;-0.471475;22635228;-27874802
491;-0.185408;0.97347;1278586;0.683462;-0.928042;-0.001765;2127698;0.964297;-0.573099;14596327;-29902375
492;-0.13854;0.679568;-0.89444;0.746305;-1034699;1336763;-0.261962;1591256;-2186947;19368407;-29467912
493;1114009;-1249523;1138347;-0.902231;-0.453116;-0.503473;-0.615757;-0.140147;0.768111;4418549;-24161562
494;0.915553;-1238113;1747851;-1131399;0.718101;0.149035;-0.485675;-1936944;0.981184;5989759;-29234264
495;1028799;-0.870048;0.547758;-0.418871;1178324;-0.787838;-0.11508;-0.651453;1372875;528872;-28956289
